budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
8000000.0,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414.0,Stand by Me,R,1986-08-22,89,8.1,Wil Wheaton,Stephen King,1986
15000000.0,Paramount Pictures,USA,Tony Scott,Action,179800601.0,Top Gun,PG,1986-05-16,110,6.9,Tom Cruise,Jim Cash,1986
18500000.0,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248.0,Aliens,R,1986-07-18,137,8.4,Sigourney Weaver,James Cameron,1986
6000000.0,Paramount Pictures,USA,John Hughes,Comedy,70136369.0,Ferris Bueller's Day Off,PG-13,1986-06-11,103,7.8,Matthew Broderick,John Hughes,1986
9000000.0,Paramount Pictures,USA,Howard Deutch,Comedy,40471663.0,Pretty in Pink,PG-13,1986-02-28,96,6.8,Molly Ringwald,John Hughes,1986
6000000.0,Hemdale,UK,Oliver Stone,Drama,138530565.0,Platoon,R,1987-02-06,120,8.1,Charlie Sheen,Oliver Stone,1986
6000000.0,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228.0,Blue Velvet,R,1986-10-23,120,7.8,Isabella Rossellini,David Lynch,1986
10000000.0,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663.0,Maximum Overdrive,R,1986-07-25,98,5.4,Emilio Estevez,Stephen King,1986
25000000.0,Henson Associates (HA),UK,Jim Henson,Adventure,12729917.0,Labyrinth,PG,1986-06-27,101,7.4,David Bowie,Dennis Lee,1986
8800000.0,Rimfire Films,Australia,Peter Faiman,Adventure,174635000.0,Crocodile Dundee,PG-13,1986-09-26,97,6.5,Paul Hogan,Ken Shadie,1986
16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000.0,Highlander,R,1986-03-07,116,7.2,Christopher Lambert,Gregory Widen,1986
15000000.0,SLM Production Group,USA,David Cronenberg,Drama,40456565.0,The Fly,R,1986-08-15,96,7.5,Jeff Goldblum,George Langelaan,1986
25000000.0,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000.0,Big Trouble in Little China,PG-13,1986-07-02,99,7.3,Kurt Russell,Gary Goldman,1986
15000000.0,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929.0,Manhunter,R,1986-08-15,120,7.2,William Petersen,Thomas Harris,1986
17000000.0,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844.0,9½ Weeks,R,1986-02-21,117,5.9,Mickey Rourke,Elizabeth McNeill,1986
10000000.0,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651.0,The Money Pit,PG,1986-03-26,91,6.3,Tom Hanks,David Giler,1986
4700000.0,Cannon Films,USA,Tobe Hooper,Comedy,8025872.0,The Texas Chainsaw Massacre 2,UNRATED,1986-08-22,89,5.6,Dennis Hopper,L.M. Kit Carson,1986
25000000.0,"Geffen Company, The",USA,Frank Oz,Comedy,38747385.0,Little Shop of Horrors,PG-13,1986-12-19,94,6.9,Rick Moranis,Howard Ashman,1986
25000000.0,Paramount Pictures,USA,Michael Ritchie,Action,79817937.0,The Golden Child,PG-13,1986-12-12,94,5.9,Eddie Murphy,Dennis Feldman,1986
35000000.0,Universal Pictures,USA,Willard Huyck,Action,16295774.0,Howard the Duck,PG,1986-08-01,110,4.6,Lea Thompson,Steve Gerber,1986
0.0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979.0,The Karate Kid Part II,PG,1986-06-20,113,5.9,Pat Morita,Robert Mark Kamen,1986
2700000.0,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000.0,The Wraith,PG-13,1986-11-21,93,5.9,Charlie Sheen,Mike Marvin,1986
0.0,TriStar Pictures,USA,John Badham,Comedy,40697761.0,Short Circuit,PG,1986-05-09,98,6.6,Ally Sheedy,S.S. Wilson,1986
6000000.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000.0,Lucas,PG-13,1986-03-28,100,6.8,Corey Haim,David Seltzer,1986
2000000.0,New Line Cinema,USA,Stephen Herek,Action,13167232.0,Critters,PG-13,1986-04-11,82,6.0,Dee Wallace,Domonic Muir,1986
0.0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487.0,The Name of the Rose,R,1986-09-24,130,7.8,Sean Connery,Umberto Eco,1986
9000000.0,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613.0,Flight of the Navigator,PG,1986-08-01,90,6.9,Joey Cramer,Mark H. Baker,1986
25000000.0,L.A. Films,USA,John Landis,Comedy,39246734.0,¡Three Amigos!,PG,1986-12-12,104,6.4,Steve Martin,Steve Martin,1986
25000000.0,Warner Bros.,USA,George P. Cosmatos,Action,49042224.0,Cobra,R,1986-05-23,87,5.7,Sylvester Stallone,Paula Gosling,1986
24500000.0,Warner Bros.,UK,Roland Joffé,Adventure,17218023.0,The Mission,PG,1986-10-31,125,7.5,Robert De Niro,Robert Bolt,1986
15000000.0,Jay Weston Productions,USA,Clint Eastwood,Action,42724017.0,Heartbreak Ridge,R,1986-12-05,130,6.8,Clint Eastwood,James Carabatsos,1986
13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,The Color of Money,R,1986-10-17,119,7.0,Paul Newman,Walter Tevis,1986
